x,y,z,l,w,h,r
1.54,1.68,4.16,10.33,1.53,12.46,-2.7
1.44,1.58,3.72,-16.31,3.04,19.07,0.46
1.37,1.56,4.19,3.89,2.28,28.36,-0.67
1.42,1.58,3.48,9.66,1.75,25.62,-2.39
1.41,1.85,4.7,-21.05,2.53,24.6,1.59
1.53,1.81,3.33,-17.23,2.5,63.14,1.6
1.57,1.56,2.62,0.61,1.71,28.91,-1.54
1.43,1.68,4.19,-3.88,1.83,13.91,1.62
1.46,1.59,4.27,-3.81,1.75,20.77,1.54
1.38,1.62,4.06,-4.01,1.7,32.47,1.6
1.49,1.53,3.88,-4.13,1.64,47.97,1.62
1.47,1.67,4.28,-6.37,1.72,6.91,-3.12
1.38,1.67,4.37,-6.59,1.71,12.17,3.0
1.54,1.58,3.2,4.71,1.49,3.14,-0.07
1.54,1.44,2.54,8.04,1.31,12.17,-1.56
1.59,1.8,3.41,10.53,1.26,12.06,-1.59
1.42,1.41,4.3,-9.61,1.75,19.26,0.11
1.66,1.73,3.05,0.28,1.8,43.89,-1.57
1.43,1.56,3.5,-16.08,2.33,22.81,1.57
1.44,1.63,3.43,-12.73,2.3,49.29,1.58
2.04,1.99,4.82,11.26,1.54,15.99,-1.52
1.49,1.56,3.88,14.05,1.47,16.77,-1.54
1.48,1.56,4.12,-6.34,1.66,7.46,3.14
1.51,1.59,3.5,-6.59,1.59,10.2,3.08
1.74,1.75,4.57,-6.45,1.58,12.5,-3.14
1.72,1.68,4.02,-6.0,1.48,18.64,0.07
1.41,1.42,4.27,-6.03,1.52,20.76,3.12
1.5,1.65,4.14,-6.64,1.53,15.64,-3.14
1.38,1.66,4.38,-5.03,1.29,36.74,0.05
1.69,1.73,4.3,13.75,1.36,23.83,1.55
1.48,1.86,4.18,4.74,1.36,32.5,0.07
1.52,1.64,4.41,3.62,1.53,1.94,-1.59
1.49,1.58,3.84,-9.83,1.52,39.15,1.71
1.54,1.57,3.52,3.31,1.41,14.0,-1.44
1.5,1.63,3.57,3.52,1.37,18.99,-1.56
1.47,1.59,3.64,3.53,1.36,24.87,-1.52
1.49,1.74,4.09,3.62,1.34,30.13,-1.53
1.44,1.58,3.28,3.75,1.23,41.57,-1.53
1.63,1.87,3.47,-16.34,2.3,20.76,1.57
1.33,1.72,3.63,-16.34,2.35,48.0,1.6
1.6,1.79,3.91,-13.62,2.42,77.85,1.56
1.5,1.78,3.69,-3.16,1.68,3.35,-1.56
1.51,1.75,4.45,16.09,0.69,23.31,0.09
1.44,1.64,3.68,-7.34,1.04,36.3,1.24
1.63,1.78,4.54,-13.9,1.53,27.67,1.48
1.41,1.57,3.53,-4.26,1.7,13.62,1.49
1.47,1.72,4.22,-3.89,1.73,39.19,2.49
1.42,1.71,4.14,-7.38,1.77,24.37,0.95
1.48,1.87,4.74,2.98,1.62,42.76,2.73
1.63,1.69,4.23,-18.89,1.96,31.31,0.0
1.85,1.84,4.69,4.45,1.47,12.72,-0.23
1.65,1.67,3.81,-3.18,1.79,12.2,-1.6
1.52,1.51,3.1,3.18,1.61,8.46,-1.59
1.53,1.58,3.53,2.9,1.66,13.14,-1.59
1.46,1.6,3.71,2.71,1.69,26.41,-1.54
1.48,1.51,4.35,0.54,1.83,14.95,1.92
1.47,1.68,3.88,5.09,1.79,19.38,1.92
1.46,1.74,3.99,1.61,1.75,11.5,2.03
1.42,1.68,4.29,2.64,1.82,20.23,1.95
1.36,1.4,3.8,5.67,1.83,27.6,1.96
1.44,1.65,2.96,10.59,1.87,39.52,1.87
1.54,1.63,3.67,-0.0,1.99,51.42,-1.58
1.49,1.6,3.81,2.84,1.59,3.15,-1.59
1.45,1.59,3.59,-2.95,1.92,35.21,1.57
1.48,1.47,3.7,3.05,1.68,13.41,-1.59
1.64,1.64,3.89,2.81,1.74,17.96,-1.6
1.69,1.39,2.65,2.77,1.74,21.77,-1.65
1.5,1.59,3.79,2.77,1.78,31.5,-1.61
1.49,1.57,4.07,2.63,1.76,46.79,-1.55
1.52,1.51,3.94,-12.22,2.26,51.46,-0.06
1.58,1.56,4.24,-17.76,2.35,51.37,0.01
1.49,1.67,4.52,-4.56,1.77,4.27,1.42
1.51,1.81,4.07,-5.99,1.92,67.64,1.52
1.6,1.66,4.49,-18.65,2.06,29.22,1.73
1.78,1.67,3.85,-14.66,1.91,39.72,2.2
1.59,1.76,4.18,-19.94,2.14,45.09,2.29
1.66,1.57,5.04,-8.82,1.68,50.96,2.9
1.49,1.46,3.84,23.68,1.24,52.29,-3.14
1.78,1.67,3.85,-19.03,1.76,23.87,1.86
1.66,1.57,5.04,-15.82,1.61,39.22,2.56
1.49,1.46,3.84,10.7,1.33,44.17,3.09
1.75,1.57,4.07,19.08,1.16,58.07,-1.63
1.46,1.66,4.16,-3.09,1.88,36.0,1.58
1.51,1.67,4.3,-3.55,1.77,15.46,1.58
1.61,1.66,3.2,0.3,1.85,20.87,-1.72
1.5,1.5,3.1,-12.56,1.98,28.48,1.59
1.5,1.67,4.07,-8.65,1.98,26.41,1.54
1.43,1.66,4.19,-2.97,1.68,3.05,1.53
1.58,1.71,3.75,3.02,1.57,2.43,-1.42
1.7,1.5,3.34,-3.54,1.84,12.85,1.55
1.48,1.71,3.93,-3.95,1.85,17.74,1.09
1.6,1.75,4.63,17.02,1.07,53.11,-0.33
1.51,1.58,3.31,4.13,1.69,6.8,-1.11
1.61,1.6,3.11,6.29,1.66,10.75,-0.83
1.79,1.69,4.72,6.85,1.61,22.4,-2.86
1.57,1.65,3.35,15.42,1.47,15.65,-0.47
1.43,1.7,3.95,17.47,1.42,25.1,2.75
1.77,1.75,4.67,-1.68,1.73,22.89,-1.46
1.72,1.39,3.07,-13.0,3.23,16.94,-2.62
1.48,1.63,3.98,8.54,1.11,8.42,0.03
1.47,1.52,4.43,7.28,1.1,11.63,0.03
1.6,1.68,3.94,-0.45,1.44,33.69,1.65
1.42,1.66,4.11,2.57,0.92,62.45,1.67
1.66,1.67,4.49,-3.72,1.7,16.58,1.56
1.56,1.72,3.09,-20.19,1.87,39.05,-1.57
1.46,1.59,4.12,-4.08,1.65,36.18,1.58
1.57,1.57,3.32,-20.22,1.8,57.01,-1.53
1.57,1.2,5.24,-19.89,1.69,61.95,1.6
1.41,1.69,4.36,-4.17,1.65,78.62,1.57
1.72,1.66,4.32,-4.21,1.84,55.11,1.56
1.62,1.63,4.5,-0.24,1.65,34.06,-1.56
1.43,1.59,4.21,12.02,1.81,79.77,-1.35
1.63,1.65,3.91,-3.77,1.84,6.72,1.56
1.46,1.53,3.17,0.95,1.81,22.23,-1.58
1.69,1.59,3.77,3.02,1.59,0.73,-1.62
1.47,1.74,4.41,-4.65,1.88,3.27,1.56
1.49,1.71,3.58,2.66,1.68,12.99,-1.61
1.39,1.81,3.46,-4.52,1.97,19.07,-1.64
1.47,1.55,3.37,2.3,1.8,23.15,-1.61
1.72,1.8,4.16,-4.94,2.09,28.36,-1.57
1.62,1.66,3.81,-5.57,2.25,42.25,1.55
1.61,1.67,3.62,2.08,1.96,38.95,-1.6
1.49,1.66,4.16,5.15,1.55,6.15,-0.08
1.85,1.68,4.34,4.37,1.62,11.0,3.02
1.43,1.56,3.85,-7.6,1.83,12.12,3.06
1.42,1.62,3.5,-8.36,1.85,19.28,3.02
1.41,1.54,3.6,-9.29,1.9,31.19,3.02
1.5,1.55,4.21,-3.07,1.75,17.37,-1.64
1.82,1.65,3.67,2.08,1.69,17.41,-1.59
1.42,1.57,4.1,-3.46,1.86,30.94,1.52
1.43,1.64,4.14,1.92,1.77,27.72,-1.64
1.46,1.53,3.17,2.58,1.61,6.1,-1.43
1.52,1.54,4.5,6.05,1.74,24.15,-1.42
1.59,1.45,3.15,-4.6,1.99,16.02,-2.91
1.51,1.59,4.28,2.76,1.57,9.34,-1.58
1.5,1.52,3.65,-9.19,1.93,11.41,0.04
1.43,1.51,3.33,3.04,1.52,1.62,-1.57
1.56,1.57,3.78,2.93,1.56,15.54,-1.57
1.47,1.71,3.85,-4.46,1.87,15.95,1.53
1.73,1.65,3.7,-4.37,1.84,21.28,1.56
1.54,1.66,3.79,2.79,1.62,23.97,-1.57
1.68,1.63,3.94,-4.1,1.89,26.96,1.56
1.48,1.64,4.15,3.14,1.63,30.36,-1.66
1.45,1.61,3.34,2.26,1.69,59.4,-1.63
1.34,1.69,3.6,-5.63,2.08,62.01,-1.79
1.6,1.76,3.84,-0.73,1.1,33.54,-1.59
1.4,1.66,4.07,-8.44,1.56,10.09,-1.57
1.35,1.57,3.72,-4.43,1.5,11.69,-1.57
1.44,1.58,3.66,-8.87,1.42,19.64,-1.58
1.49,1.64,3.95,-5.26,1.37,19.7,-1.58
1.78,1.81,4.32,-5.27,1.04,47.14,-1.59
1.65,1.68,3.88,-7.0,1.71,6.58,3.05
2.08,1.8,4.37,-7.22,1.76,9.19,-0.04
1.5,1.58,2.81,5.87,1.64,5.28,-0.08
1.57,1.68,3.97,5.77,1.71,7.78,3.08
1.44,1.65,4.26,5.48,1.69,10.69,-0.07
1.77,1.69,3.82,5.65,1.7,13.07,-0.04
1.49,1.59,4.44,-7.31,1.81,20.33,3.11
1.48,1.63,4.1,-6.99,1.79,22.97,3.14
1.41,1.56,4.08,1.72,1.74,26.21,-1.64
1.52,1.64,3.65,-7.44,1.78,37.44,0.06
1.43,1.58,3.37,1.22,1.71,41.3,-1.6
1.65,1.67,3.64,-0.53,1.95,46.99,-1.59
1.44,1.62,4.02,-8.97,2.09,20.15,1.53
1.68,1.67,3.87,-9.93,2.32,43.76,1.5
1.61,1.51,4.5,-4.13,2.25,63.36,-1.59
1.57,1.65,4.09,-0.18,1.64,13.88,0.23
1.65,1.67,3.64,-0.34,1.98,40.25,-1.59
1.35,1.63,4.1,-7.88,1.84,9.32,1.58
1.26,1.6,3.56,-0.54,2.03,37.52,-1.6
1.37,1.63,3.57,-3.94,2.04,45.88,-1.59
1.45,1.53,3.5,-16.17,1.97,40.67,1.56
1.77,1.77,5.1,3.91,1.69,8.05,-1.55
1.46,1.63,3.92,-4.64,1.82,3.48,1.56
1.47,1.66,3.76,-3.79,2.07,30.16,1.63
1.41,1.66,3.86,4.08,1.79,14.22,-1.52
1.59,1.59,3.34,4.29,1.83,19.94,-1.58
1.47,1.6,3.7,4.47,1.9,25.07,-1.51
1.49,1.64,3.52,4.75,1.9,30.5,-1.53
1.45,1.6,3.2,-1.68,2.31,57.08,1.67
1.56,1.65,3.69,0.35,1.72,19.99,-1.58
1.52,1.49,3.46,4.61,1.56,12.43,-0.8
1.39,1.61,3.65,4.29,1.51,19.0,-0.77
1.61,1.7,3.97,-6.54,1.85,17.44,1.63
1.45,1.65,4.63,-10.42,1.92,12.19,1.59
1.81,1.59,3.93,-10.51,1.96,18.36,1.56
1.45,1.84,4.59,-5.18,1.8,34.84,1.66
1.76,1.58,3.68,-1.24,1.7,59.25,1.78
1.56,1.62,4.19,-9.76,1.86,28.46,1.7
1.42,1.67,4.53,-7.8,1.92,41.51,1.81
1.47,1.46,3.16,5.24,1.59,62.22,-1.26
1.45,1.5,4.53,-14.0,1.87,27.77,1.68
1.41,1.54,3.36,-3.06,1.55,7.91,-1.56
1.52,1.67,4.38,-1.31,1.35,17.47,-1.61
1.56,1.59,3.65,-2.17,1.26,23.41,-1.54
1.48,1.47,2.23,0.71,1.09,28.67,-1.57
1.42,1.44,3.19,-6.81,1.48,19.29,1.59
1.5,1.62,3.83,-6.28,1.13,36.4,1.62
1.36,1.69,3.38,-0.17,1.5,26.1,-1.62
1.57,1.64,3.49,-5.88,1.61,7.1,0.63
1.38,1.55,3.89,-6.43,1.64,14.93,0.7
1.3,1.55,3.51,-2.34,1.65,14.41,-1.56
1.43,1.62,3.76,-2.22,1.66,19.47,-1.55
1.57,1.67,4.2,-6.28,1.58,25.26,0.64
1.38,1.55,3.6,2.76,1.63,5.6,-1.57
1.45,1.64,3.7,2.54,1.55,29.34,-1.57
1.43,1.73,4.09,-15.02,1.66,35.36,1.55
1.52,1.67,3.61,-0.87,1.66,37.37,-1.57
1.44,1.52,3.66,-14.95,1.58,20.93,1.59
1.52,1.64,4.41,3.62,1.53,3.63,-1.59
1.85,1.68,4.11,-12.47,1.75,12.88,1.63
1.49,1.58,3.84,-9.62,1.44,42.53,1.71
1.54,1.57,3.52,3.31,1.38,15.7,-1.45
1.5,1.63,3.57,3.55,1.38,20.64,-1.56
1.47,1.59,3.64,3.56,1.39,26.63,-1.52
1.49,1.74,4.09,3.7,1.39,31.83,-1.53
1.44,1.58,3.28,3.73,1.21,43.23,-1.53
1.66,1.73,3.05,-0.85,1.71,57.84,-1.58
1.52,1.76,3.66,-15.0,2.11,39.12,1.58
1.56,1.63,3.62,-5.93,1.89,5.46,1.57
1.53,1.5,3.34,2.93,1.66,4.75,-1.67
1.46,1.43,3.52,-5.93,1.87,10.5,1.56
1.39,1.45,3.44,3.05,1.57,10.29,-1.61
1.53,1.59,3.64,-2.02,1.22,40.94,-1.77
1.46,1.42,3.12,-11.25,1.41,18.58,0.8
1.63,1.6,3.73,-8.9,0.91,54.0,1.45
1.5,1.62,4.08,-23.39,2.21,28.13,1.58
1.65,1.57,3.82,-23.3,2.44,34.13,1.58
1.37,1.36,4.44,-23.23,2.35,39.37,1.59
1.51,1.47,3.64,-23.35,2.48,43.84,1.63
1.57,1.67,4.14,-3.47,1.39,17.74,1.56
1.66,1.56,3.42,16.36,1.77,18.54,-0.62
1.45,1.64,4.21,27.99,1.82,34.96,2.48
1.7,1.43,3.2,-3.33,1.93,5.84,1.55
1.68,1.63,3.9,-6.08,2.54,52.2,1.4
1.36,1.69,3.38,0.07,1.51,22.11,-1.61
1.36,1.57,3.73,-5.44,1.59,7.24,-2.48
1.48,1.57,3.48,-6.21,1.5,15.04,0.73
1.25,1.74,3.66,-2.41,1.53,12.74,-1.56
1.46,1.59,3.65,-2.52,1.59,18.13,-1.62
1.37,1.52,3.3,-6.02,1.48,24.96,0.69
1.46,1.72,3.95,2.84,1.61,8.44,-1.55
1.32,1.7,4.04,2.8,1.59,13.27,-1.57
1.56,1.48,3.36,2.9,1.53,19.27,-1.62
1.38,1.55,3.6,2.45,1.61,37.3,-1.6
1.52,1.67,3.61,-0.17,1.56,33.8,-1.57
1.36,1.54,3.57,-15.05,1.46,27.39,1.6
1.6,1.76,3.84,-0.73,1.22,35.28,-1.6
1.48,1.64,3.82,-8.01,1.42,21.16,-1.59
1.41,1.58,4.36,2.43,1.95,17.76,-1.6
1.46,1.63,4.47,-2.39,1.55,20.61,1.55
1.7,1.82,4.45,-1.98,1.42,31.89,1.69
1.57,1.56,2.62,1.34,1.22,43.74,-0.59
1.47,1.68,4.26,-6.11,1.53,7.69,3.08
1.6,1.76,3.84,-0.95,1.32,28.61,-1.6
1.66,1.62,3.95,-7.7,1.58,8.78,-1.57
1.64,1.72,4.24,-3.29,1.55,11.89,-1.57
1.45,1.61,3.72,-8.15,1.48,18.81,-1.58
1.51,1.66,4.13,-12.79,1.49,19.36,-1.58
1.48,1.64,3.81,-4.12,1.37,25.71,-1.57
1.37,1.61,4.21,-4.11,1.26,37.8,-1.57
1.5,1.55,3.99,-12.52,1.43,26.38,-1.58
1.26,1.6,3.56,-1.97,1.76,72.71,-1.62
1.51,1.51,4.15,-8.03,1.85,12.23,1.54
1.49,1.71,3.94,-8.42,1.96,34.77,1.57
1.56,1.55,3.64,-3.09,1.77,3.03,1.53
1.91,1.66,4.22,-3.06,1.8,8.43,1.52
1.83,1.69,4.28,-2.79,1.86,14.46,1.56
1.51,1.63,4.03,-1.39,2.06,30.09,1.77
1.57,1.44,3.6,0.05,2.16,36.27,1.87
1.47,1.51,3.5,2.43,2.2,41.59,1.92
1.61,1.74,4.06,-4.6,1.78,4.26,1.54
1.77,1.77,5.1,4.28,1.85,18.21,-1.52
1.39,1.55,3.65,-4.53,1.85,9.16,1.59
1.46,1.63,3.92,-4.45,1.88,13.72,1.6
1.47,1.66,3.76,-2.84,2.17,40.57,1.65
1.41,1.66,3.86,4.65,1.98,24.41,-1.51
1.59,1.59,3.34,4.97,2.08,30.03,-1.54
1.47,1.6,3.7,5.29,2.05,35.22,-1.49
1.45,1.6,3.2,-0.01,2.44,67.32,1.69
1.47,1.58,3.55,1.38,1.81,6.02,-2.0
1.37,1.7,4.38,-0.5,1.93,10.39,-1.98
1.4,1.56,3.91,-2.64,2.16,14.29,-2.02
1.6,1.65,3.77,-5.33,2.43,19.2,-2.02
1.86,1.63,4.2,-14.66,3.1,23.96,1.17
1.45,1.46,3.41,-9.92,2.49,13.85,1.06
1.46,1.55,4.21,-7.06,2.17,7.93,1.1
1.37,1.61,4.26,-11.06,3.03,30.38,-2.0
1.51,1.55,3.92,-23.82,4.01,43.19,1.1
1.41,1.76,4.4,-3.96,1.84,17.52,1.58
1.43,1.7,3.74,-6.93,1.96,16.07,1.56
1.55,1.66,4.15,2.06,1.78,37.7,-1.58
1.41,1.66,3.35,-4.26,1.93,26.69,1.57
1.47,1.7,4.65,7.62,1.18,30.65,-3.14
1.91,1.81,4.33,7.69,1.22,33.7,-3.14
1.46,1.56,4.11,2.63,1.59,15.53,-1.57
1.45,1.49,3.79,2.86,1.57,21.24,-1.59
1.5,1.53,4.13,2.71,1.65,26.91,-1.59
1.58,1.65,3.91,-3.01,1.68,34.26,-1.54
1.45,1.58,3.53,3.0,1.6,43.29,-1.55
1.45,1.56,3.47,-3.17,1.77,17.29,1.58
1.53,1.59,3.64,2.58,1.79,16.14,-1.57
1.63,1.6,3.73,-1.88,1.87,30.35,1.65
1.45,1.5,3.26,2.93,1.74,22.2,-1.45
1.59,1.49,3.34,3.21,1.79,28.31,-1.57
1.54,1.6,3.52,3.07,1.79,33.68,-1.57
1.62,1.72,4.35,9.31,1.73,48.25,-1.99
1.54,1.78,4.2,-6.05,1.58,10.72,0.01
1.46,1.42,3.25,-7.06,1.58,13.12,-3.13
1.54,1.64,4.15,-6.79,1.63,15.33,0.06
1.5,1.66,4.4,-5.9,1.66,20.05,-0.05
1.41,1.62,4.19,2.67,1.75,18.63,-1.57
1.42,1.59,3.21,6.31,1.62,23.62,0.07
1.32,1.63,4.1,2.59,1.7,62.01,-1.58
1.55,1.63,3.32,0.09,1.51,7.02,-1.57
1.37,1.82,3.96,-15.61,2.29,53.16,1.55
1.38,1.79,2.94,-18.47,2.5,52.22,1.58
1.4,1.75,4.75,-12.29,2.0,53.68,1.58
1.59,1.73,4.26,20.6,1.69,27.44,-3.08
1.44,1.69,4.45,2.86,1.54,3.17,-1.59
1.42,1.66,3.71,3.25,1.49,9.46,-1.4
1.75,1.84,4.43,5.06,1.4,15.09,-1.12
1.48,1.71,4.65,-7.01,1.62,34.24,-1.6
2.04,1.66,4.62,-10.13,1.6,34.31,-1.57
1.51,1.72,4.5,6.47,1.32,35.43,-1.63
1.53,1.61,4.73,-15.71,1.65,34.57,-1.57
1.6,1.76,3.84,-0.77,1.09,34.92,-1.59
1.43,1.64,3.99,-4.64,1.55,9.21,-1.56
1.4,1.66,4.07,-8.52,1.46,16.59,-1.57
1.35,1.57,3.72,-4.56,1.39,18.53,-1.57
1.44,1.58,3.66,-9.06,1.31,26.4,-1.58
1.49,1.64,3.95,-5.43,1.28,26.66,-1.58
1.6,1.66,3.82,-12.15,1.49,17.45,-1.58
1.61,1.66,3.2,-0.57,1.8,24.48,-1.58
1.66,1.61,3.46,-6.47,2.15,43.81,1.57
1.49,1.67,4.38,-6.54,2.08,73.32,1.56
1.36,1.5,4.21,18.69,1.18,36.75,-1.59
1.6,1.76,3.84,0.0,1.27,22.07,-1.57
1.45,1.67,3.88,-4.59,1.64,4.31,-1.57
1.42,1.52,4.06,-8.42,1.51,16.23,-1.57
1.5,1.7,3.97,-8.49,1.41,23.35,-1.58
